"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene";"cluster_no"
"Txnip";0,00269729189618443;0,233649596670597;0,834;0,75;1;"DMSO";"Txnip";0
"Lgals2";0,00339920766787071;0,27509943647739;0,997;0,99;1;"DMSO";"Lgals2";0
"Ppp1r1b";0,00355233163090893;0,208957777766376;0,753;0,605;1;"DMSO";"Ppp1r1b";0
"Ier2";0,0040579069731987;0,223339248432106;0,878;0,798;1;"DMSO";"Ier2";0
"Sis";0,004356904336311;0,503435234955663;0,757;0,608;1;"DMSO";"Sis";0
"Slc5a1";0,00848119065066397;0,284782604317337;0,705;0,583;1;"DMSO";"Slc5a1";0
"Akr1b8";3,07779670416744e-25;0,81616511057025;0,881;0,544;5,46185803121554e-21;"GW";"Akr1b8";0
"Acot1";4,02834678659995e-23;0,816684508416044;0,94;0,721;7,14870420750028e-19;"GW";"Acot1";0
"Scd1";8,88907627692691e-23;1,2465930979421;0,923;0,51;1,57745547610345e-18;"GW";"Scd1";0
"Abca1";6,48707115886078e-18;0,399655986670877;0,405;0,019;1,15119564785143e-13;"GW";"Abca1";0
"Srebf1";1,64573296517566e-12;0,46825653800429;0,611;0,233;2,92051772000072e-08;"GW";"Srebf1";0
"Acsl3";2,10076731157627e-12;0,402600634814802;0,762;0,522;3,72802167112325e-08;"GW";"Acsl3";0
"Scd2";6,24020484883149e-12;0,452117859602619;0,986;0,929;1,10738675247364e-07;"GW";"Scd2";0
"Me1";4,55435808657274e-11;0,489738708531546;0,73;0,457;8,08216386043198e-07;"GW";"Me1";0
"Fabp5";1,7493807216803e-10;0,836994130140606;0,586;0,308;3,10445102869387e-06;"GW";"Fabp5";0
"Mif";1,7301512535336e-09;0,319620202753119;0,995;0,994;3,07032641452072e-05;"GW";"Mif";0
"Lpcat3";1,96556158922875e-09;0,465463236534597;0,949;0,838;3,48808559624534e-05;"GW";"Lpcat3";0
"Plin2";1,67187980370705e-08;0,361262351812379;0,732;0,56;0,000296691789965853;"GW";"Plin2";0
"Por";1,92308848712423e-08;0,320670558226479;0,798;0,66;0,000341271282925065;"GW";"Por";0
"Hadhb";7,21916793131574e-08;0,229238550688425;0,87;0,784;0,00128111354109129;"GW";"Hadhb";0
"Tm4sf4";2,03520508212436e-07;0,503504874768418;0,445;0,13;0,00361167493873789;"GW";"Tm4sf4";0
"Fam162a";3,93135044584173e-07;0,358182025519838;0,993;0,973;0,00697657450119074;"GW";"Fam162a";0
"Dbi";7,05871571641889e-07;0,335990991752399;1;1;0,012526396910357;"GW";"Dbi";0
"Mt4";2,59813889268502e-06;1,33579726128675;0,471;0,192;0,0461065727895883;"GW";"Mt4";0
"Fabp1";4,78993856760911e-06;0,727975219204521;0,971;0,872;0,0850022498207912;"GW";"Fabp1";0
"Hadha";5,57750296442291e-06;0,240447925107336;0,891;0,829;0,0989783676066489;"GW";"Hadha";0
"Rnf186";1,20229383597402e-05;0,327650888578977;0,748;0,547;0,21335906413195;"GW";"Rnf186";0
"Gng11";1,21454059564036e-05;0,325463330227651;0,452;0,172;0,215532374102339;"GW";"Gng11";0
"Dhrs7";1,39638644559084e-05;0,207469831311122;0,665;0,552;0,247802738634551;"GW";"Dhrs7";0
"Mid1ip1";2,95220553973985e-05;0,334007594824099;0,747;0,572;0,523898395082233;"GW";"Mid1ip1";0
"Abcg5";3,66048771738856e-05;0,359636792602097;0,579;0,321;0,649590150327774;"GW";"Abcg5";0
"Acadl";3,87736058129952e-05;0,340772177745992;0,917;0,82;0,688076408757413;"GW";"Acadl";0
"H2-Q10";4,98131292145489e-05;0,34562782493155;0,926;0,79;0,883983791041385;"GW";"H2-Q10";0
"Soat1";7,87482042074295e-05;0,244283215163442;0,524;0,328;1;"GW";"Soat1";0
"Abcg8";0,000110950143854951;0,321529255892408;0,568;0,327;1;"GW";"Abcg8";0
"Cyba";0,000145547736668569;0,245781108810023;0,609;0,489;1;"GW";"Cyba";0
"Areg";0,00019948806278562;0,402859361529635;0,688;0,487;1;"GW";"Areg";0
"Hsd17b11";0,000219405295962398;0,241920116732773;0,535;0,359;1;"GW";"Hsd17b11";0
"Tmsb10";0,000401990434289702;0,210791652515661;1;0,998;1;"GW";"Tmsb10";0
"Tubb2a";0,000747595170695427;0,264042995602537;0,244;0,108;1;"GW";"Tubb2a";0
"Ero1l";0,000800264518040784;0,400865186237508;0,904;0,838;1;"GW";"Ero1l";0
"Tmsb4x";0,000852648140434978;0,23010885204368;0,994;0,997;1;"GW";"Tmsb4x";0
"Lgals3";0,00164813494953842;0,330618487226235;0,743;0,581;1;"GW";"Lgals3";0
"G0s2";0,0017012234762921;0,208248593679592;0,258;0,134;1;"GW";"G0s2";0
"Fmo5";0,00171437447538611;0,276985411905769;0,733;0,63;1;"GW";"Fmo5";0
"Acsl5";0,00196637088051526;0,221239977504441;0,803;0,717;1;"GW";"Acsl5";0
"Fasn";0,0021963687192305;0,255722238140693;0,566;0,39;1;"GW";"Fasn";0
"Fabp6";0,00230234771389927;1,81723001112392;0,247;0,111;1;"GW";"Fabp6";0
"Selenbp1";0,00258840723168243;0,392411140897543;0,858;0,783;1;"GW";"Selenbp1";0
"Higd1a";0,00351545201012708;0,303442360286973;0,971;0,933;1;"GW";"Higd1a";0
"Abcc2";0,00524367117208713;0,272837333853613;0,787;0,707;1;"GW";"Abcc2";0
"Acaa1b";0,00544690172095679;0,410334869629026;0,424;0,209;1;"GW";"Acaa1b";0
"Sprr2a3";0,00590358548815032;0,497676224541783;0,653;0,546;1;"GW";"Sprr2a3";0
"Rab9";0,00604436584280473;0,216580817407262;0,758;0,66;1;"GW";"Rab9";0
"Msmo11";1,52736219347099e-19;0,487650363155265;0,926;0,701;2,71045694853362e-15;"DMSO";"Msmo1";1
"Fdps1";1,08814848044129e-18;0,503076595021637;0,988;0,941;1,93102829339111e-14;"DMSO";"Fdps";1
"Idi11";2,73975813052721e-15;0,567145736983317;0,971;0,835;4,8619747784336e-11;"DMSO";"Idi1";1
"Cyp511";8,78142455997456e-13;0,461041944078848;0,9;0,671;1,55835160241309e-08;"DMSO";"Cyp51";1
"Oat1";2,09808014330056e-09;0,301136615920471;0,998;0,991;3,72325302230117e-05;"DMSO";"Oat";1
"Sqle1";2,87239019798454e-08;0,280987913654686;0,727;0,463;0,000509734364534337;"DMSO";"Sqle";1
"Fdft11";1,45557245906123e-07;0,251092427513871;0,743;0,52;0,00258305888585006;"DMSO";"Fdft1";1
"Hmgcs11";2,44497513792971e-07;0,283877949475216;0,835;0,665;0,00433885287977007;"DMSO";"Hmgcs1";1
"Rbp7";1,05778810745462e-06;0,22809748360352;0,454;0,238;0,0187715077548896;"DMSO";"Rbp7";1
"Pycard";4,6562698226363e-06;0,200077207036502;1;0,998;0,0826301642725037;"DMSO";"Pycard";1
"Lypd81";4,82190585451378e-06;0,254064537397374;0,994;0,988;0,0855695412942016;"DMSO";"Lypd8";1
"Hmgcr1";6,35843165151062e-05;0,303648127147979;0,89;0,727;1;"DMSO";"Hmgcr";1
"Smim241";0,00022579221819444;0,302759572880556;0,921;0,766;1;"DMSO";"Smim24";1
"Cth";0,000506486053759886;0,297894499416775;0,841;0,718;1;"DMSO";"Cth";1
"Acot11";3,02386006273567e-27;0,641727799527827;0,941;0,695;5,36614206733072e-23;"GW";"Acot1";1
"Rpl41";7,76388268134793e-24;0,202791804369769;1;1;1,377778620632e-19;"GW";"Rpl41";1
"Rps29";9,96422082489861e-23;0,211906863023943;1;1;1,76825062758651e-18;"GW";"Rps29";1
"Rpl36";7,63998537238474e-22;0,206747571694776;1;1;1,3557918041834e-17;"GW";"Rpl36";1
"Rpl38";4,41274505808313e-21;0,202732026837373;1;1;7,83085738007432e-17;"GW";"Rpl38";1
"Abca11";8,43750044483484e-16;0,223223442892075;0,311;0,001;1,49731882894039e-11;"GW";"Abca1";1
"Scd21";3,2471770529152e-15;0,435989549033588;0,995;0,953;5,76244039810332e-11;"GW";"Scd2";1
"Fabp51";4,02022546347882e-15;0,566805384448471;0,924;0,828;7,13429210748951e-11;"GW";"Fabp5";1
"Scd11";1,21808737853844e-14;0,431751528710548;0,741;0,421;2,16161786195432e-10;"GW";"Scd1";1
"Hmgcs2";6,14159971905652e-14;0,295406340117253;0,379;0,013;1,08988828614377e-09;"GW";"Hmgcs2";1
"Mif1";2,33965042855052e-13;0,231274406701795;0,999;0,999;4,15194365050575e-09;"GW";"Mif";1
"Fabp11";5,84817720580301e-13;1,57796286124025;0,847;0,649;1,0378175269418e-08;"GW";"Fabp1";1
"Akr1b81";8,07208383040859e-10;0,389940023659477;0,566;0,255;1,43247199654431e-05;"GW";"Akr1b8";1
"Acadl1";5,35496593973938e-09;0,286882644292466;0,876;0,738;9,50292255666151e-05;"GW";"Acadl";1
"Srebf11";9,5051881160676e-09;0,312889439561052;0,616;0,301;0,000168679068307736;"GW";"Srebf1";1
