"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene"
"Ffar2";3,72299836291281e-06;0,699779776776892;0,316;0,01;0,0660683289482508;"7";"Ffar2"
"Sult1d11";4,1234745178864e-06;0,782603974632174;0,585;0,343;0,0731751787944121;"7";"Sult1d1"
"Rasd1";4,14977482845856e-06;0,79440833934351;0,323;0,037;0,0736419041058256;"7";"Rasd1"
"Etnk1";5,2437445983786e-06;0,745352622149292;0,485;0,196;0,0930554916428266;"7";"Etnk1"
"Cd177";5,91245252284918e-06;1,02681991978298;0,346;0,009;0,104922382470481;"7";"Cd177"
"Fgd2";6,19484088304115e-06;0,714980997404678;0,366;0,012;0,109933646310448;"7";"Fgd2"
"Vim";7,75182569435383e-06;1,97374273288058;0,38;0,003;0,137563898772003;"7";"Vim"
"Ptprn2";7,75182569435383e-06;0,992654243979656;0,517;0,008;0,137563898772003;"7";"Ptprn2"
"Rundc3a";7,75182569435383e-06;0,81578026811738;0,428;0,005;0,137563898772003;"7";"Rundc3a"
"Kcnb2";7,75182569435383e-06;0,773442333064416;0,406;0,003;0,137563898772003;"7";"Kcnb2"
"Pla2g2f";7,75182569435383e-06;0,554745386012954;0,292;0,004;0,137563898772003;"7";"Pla2g2f"
"Prox1";7,75182569435383e-06;0,499179145452031;0,245;0,012;0,137563898772003;"7";"Prox1"
"Cyp4b1";8,37155758074359e-06;0,782005470887457;0,383;0,054;0,148561660827876;"7";"Cyp4b1"
"Trp53i11";9,87516642835394e-06;0,677611925532511;0,395;0,076;0,175244703437569;"7";"Trp53i11"
"Tph1";1,59404479567909e-05;1,68897597436026;0,271;0,002;0,282879189441211;"7";"Tph1"
"Gng4";1,59404479567909e-05;0,674413178722471;0,353;0,001;0,282879189441211;"7";"Gng4"
