"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Ndufa4";2,29098115436109e-117;-0,281704607505526;0,717;0,822;5,1405035141554e-113;"Ndufa4"
"Sfrp1";5,24837531475463e-117;-0,50968099760656;0,598;0,693;1,17763045312464e-112;"Sfrp1"
"Sra1";6,93760727877637e-117;-0,338568039599762;0,165;0,278;1,55666032121184e-112;"Sra1"
"Atp5j";7,08580420668332e-117;-0,529753973358041;0,705;0,811;1,5899127478956e-112;"Atp5j"
"Polr1d";3,48582825930049e-116;-0,336638943364846;0,33;0,464;7,82150144821844e-112;"Polr1d"
"Swi5";3,08508913827979e-115;-0,309715928403923;0,5;0,63;6,92232300847218e-111;"Swi5"
"Fxyd1";9,95921357974275e-115;-0,374295002805986;0,436;0,563;2,23464834302268e-110;"Fxyd1"
"Rbx1";5,63536494905872e-114;-0,299447953721762;0,491;0,625;1,2644631872698e-109;"Rbx1"
"Snrnp70";1,76802227887896e-113;0,362731494879782;0,714;0,647;3,96708838934862e-109;"Snrnp70"
"0610012G03Rik";4,26433285635842e-113;-0,321806326188197;0,173;0,286;9,56831006309703e-109;"0610012G03Rik"
"Acsl4";1,81735446554275e-110;0,447679283483871;0,353;0,248;4,07777994978482e-106;"Acsl4"
"Clta";1,069326948648e-109;-0,308793983134352;0,434;0,567;2,39935580737639e-105;"Clta"
"Atraid";9,05966104551198e-108;-0,319897310877438;0,311;0,44;2,03280674539198e-103;"Atraid"
"Bax";1,4098881637147e-107;-0,32272832816958;0,203;0,32;3,16350706174304e-103;"Bax"
"H2afj";5,36149363818693e-107;-0,356604189174081;0,464;0,585;1,20301194253638e-102;"H2afj"
"Junb";3,23051234628288e-106;0,632627536916277;0,762;0,682;7,24862360258953e-102;"Junb"
"Sdhb";7,82755221652473e-106;-0,31469237501552;0,21;0,326;1,75634616634382e-101;"Sdhb"
"Rtraf";3,83757530350306e-105;-0,305710009516758;0,383;0,514;8,61075146600016e-101;"Rtraf"
"Drap1";1,12682958962717e-104;-0,313895948706729;0,373;0,5;2,52838023320544e-100;"Drap1"
"Ndufs5";2,17069357918442e-104;-0,308347479098769;0,444;0,574;4,870602252974e-100;"Ndufs5"
"Trmt112";2,40284583398575e-104;-0,312869676268006;0,344;0,47;5,39150548229723e-100;"Trmt112"
"Supt4a";7,30065935253451e-104;-0,307929023802555;0,245;0,368;1,63812194552169e-99;"Supt4a"
"Commd1";1,89003193019837e-103;-0,299779660378643;0,168;0,276;4,2408536449791e-99;"Commd1"
"1110065P20Rik";4,25118193501687e-103;-0,299088675307942;0,139;0,24;9,53880202579085e-99;"1110065P20Rik"
"Uqcr10";4,47466536602581e-103;-0,280848696658915;0,618;0,731;1,00402541482887e-98;"Uqcr10"
"Insig1";4,92654505462665e-103;0,459535263522058;0,311;0,212;1,10541817935713e-98;"Insig1"
"Aprt";8,3331976830443e-103;-0,294857046072435;0,307;0,435;1,86980289612148e-98;"Aprt"
"Lamtor5";1,74760048490803e-102;-0,292602725761643;0,185;0,296;3,92126596803664e-98;"Lamtor5"
"Txndc17";1,91946249000388e-102;-0,309687883336941;0,332;0,456;4,30688993507071e-98;"Txndc17"
"Psmb5";1,94553722012938e-102;-0,303699348639927;0,324;0,449;4,3653964145263e-98;"Psmb5"
"Trappc2l";2,55268165839741e-102;-0,305756596796416;0,22;0,335;5,7277071051121e-98;"Trappc2l"
"Cox6b1";1,19191471497777e-101;-0,270238560121918;0,64;0,754;2,67441823746713e-97;"Cox6b1"
"Ndufs8";2,4751675426137e-100;-0,29374593618333;0,215;0,33;5,55378093211662e-96;"Ndufs8"
"Atp5o";2,53681788277686e-100;-0,287688599618639;0,384;0,511;5,69211196537473e-96;"Atp5o"
"Hspa1a";3,02459246746665e-100;0,483771419752281;0,659;0,572;6,78658057850166e-96;"Hspa1a"
